FECHA_HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CASOS,VICTIMAS
2022/01/02,81,ARAUCA,81300,FORTUL,1,4
2022/01/03,76,VALLE DEL CAUCA,76364,JAMUNDI,1,3
2022/01/06,85,CASANARE,85139,MANI,1,3
2022/01/08,47,MAGDALENA,47980,ZONA BANANERA,1,3
2022/01/08,52,NARIÑO,52203,COLON,1,3
2022/01/16,86,PUTUMAYO,86571,PUERTO GUZMAN,1,3
2022/01/17,5,ANTIOQUIA,5690,SANTO DOMINGO,1,4
2022/01/28,19,CAUCA,19110,BUENOS AIRES,1,3
2022/02/04,5,ANTIOQUIA,5038,ANGOSTURA,1,3
2022/02/05,86,PUTUMAYO,86573,LEGUIZAMO,1,3
2022/02/10,81,ARAUCA,81065,ARAUQUITA,1,4
2022/02/11,5,ANTIOQUIA,5604,REMEDIOS,1,3
2022/02/19,81,ARAUCA,81736,SARAVENA,1,3
2022/03/07,91,AMAZONAS,91001,LETICIA,1,3
2022/03/11,47,MAGDALENA,47001,SANTA MARTA,1,3
2022/03/16,5,ANTIOQUIA,5861,VENECIA,1,3
2022/03/22,5,ANTIOQUIA,5001,MEDELLIN,1,3
2022/03/22,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,3
2022/03/25,76,VALLE DEL CAUCA,76243,EL AGUILA,1,4
2022/03/28,76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,1,3
2022/03/30,5,ANTIOQUIA,5154,CAUCASIA,1,3
2022/03/31,13,BOLIVAR,13001,CARTAGENA,1,3
2022/04/08,5,ANTIOQUIA,5361,ITUANGO,1,3
2022/04/13,50,META,50370,URIBE,1,4
2022/04/17,81,ARAUCA,81794,TAME,1,4
2022/04/17,19,CAUCA,19075,BALBOA,1,3
2022/04/19,5,ANTIOQUIA,5284,FRONTINO,1,7
2022/04/22,25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,1,3
2022/04/24,86,PUTUMAYO,86571,PUERTO GUZMAN,1,3
2022/04/24,76,VALLE DEL CAUCA,76147,CARTAGO,1,5
2022/04/29,19,CAUCA,19100,BOLIVAR,1,3
2022/05/02,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,3
2022/05/13,76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,1,3
2022/05/20,8,ATLANTICO,8001,BARRANQUILLA,1,3
2022/05/24,47,MAGDALENA,47001,SANTA MARTA,1,3
2022/05/24,73,TOLIMA,73168,CHAPARRAL,1,4
2022/06/01,20,CESAR,20238,EL COPEY,1,3
2022/06/01,47,MAGDALENA,47980,ZONA BANANERA,1,3
2022/06/10,18,CAQUETA,18150,CARTAGENA DEL CHAIRA,1,4
2022/06/10,52,NARIÑO,52835,SAN ANDRES DE TUMACO,1,4
2022/06/17,13,BOLIVAR,13001,CARTAGENA,1,3
2022/07/02,5,ANTIOQUIA,5642,SALGAR,1,3
2022/07/03,52,NARIÑO,52835,SAN ANDRES DE TUMACO,1,3
2022/07/04,8,ATLANTICO,8001,BARRANQUILLA,1,3
2022/07/06,18,CAQUETA,18410,LA MONTAÑITA,1,3
2022/07/10,19,CAUCA,19698,SANTANDER DE QUILICHAO,1,3
2022/07/21,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,3
2022/07/23,8,ATLANTICO,8758,SOLEDAD,1,3
2022/07/23,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,3
2022/07/25,18,CAQUETA,18592,PUERTO RICO,1,3
2022/07/25,70,SUCRE,70001,SINCELEJO,1,3
2022/07/28,20,CESAR,20400,LA JAGUA DE IBIRICO,1,3
2022/07/31,19,CAUCA,19450,MERCADERES,1,3
2022/07/31,52,NARIÑO,52079,BARBACOAS,1,4
2022/07/31,76,VALLE DEL CAUCA,76400,LA UNION,1,5
2022/08/06,19,CAUCA,19473,MORALES,1,4
2022/08/07,19,CAUCA,19256,EL TAMBO,1,3
2022/08/11,47,MAGDALENA,47288,FUNDACION,1,3
2022/08/15,76,VALLE DEL CAUCA,76823,TORO,1,3
2022/08/18,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,4
2022/08/21,18,CAQUETA,18256,EL PAUJIL,1,5
2022/08/22,5,ANTIOQUIA,5250,EL BAGRE,1,3
2022/08/24,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,3
2022/08/24,76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,1,3
2022/08/26,52,NARIÑO,52227,CUMBAL,1,3
2022/08/27,54,NORTE DE SANTANDER,54001,CUCUTA,1,4
2022/08/28,52,NARIÑO,52427,MAGUI,1,5
2022/08/28,8,ATLANTICO,8001,BARRANQUILLA,1,3
