FECHA_HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CASOS,VICTIMAS
01/02/2022 12:00:00 AM,81,ARAUCA,81300,FORTUL,1,4
01/03/2022 12:00:00 AM,76,VALLE DEL CAUCA,76364,JAMUNDI,1,3
01/06/2022 12:00:00 AM,85,CASANARE,85139,MANI,1,3
01/08/2022 12:00:00 AM,47,MAGDALENA,47980,ZONA BANANERA,1,3
01/08/2022 12:00:00 AM,52,NARIÑO,52203,COLON,1,3
01/16/2022 12:00:00 AM,86,PUTUMAYO,86571,PUERTO GUZMAN,1,3
01/17/2022 12:00:00 AM,5,ANTIOQUIA,5690,SANTO DOMINGO,1,4
01/28/2022 12:00:00 AM,19,CAUCA,19110,BUENOS AIRES,1,3
02/04/2022 12:00:00 AM,5,ANTIOQUIA,5038,ANGOSTURA,1,3
02/05/2022 12:00:00 AM,86,PUTUMAYO,86573,LEGUIZAMO,1,3
02/10/2022 12:00:00 AM,81,ARAUCA,81065,ARAUQUITA,1,4
02/11/2022 12:00:00 AM,5,ANTIOQUIA,5604,REMEDIOS,1,3
02/19/2022 12:00:00 AM,81,ARAUCA,81736,SARAVENA,1,3
03/07/2022 12:00:00 AM,91,AMAZONAS,91001,LETICIA,1,3
03/11/2022 12:00:00 AM,47,MAGDALENA,47001,SANTA MARTA,1,3
03/16/2022 12:00:00 AM,5,ANTIOQUIA,5861,VENECIA,1,3
03/22/2022 12:00:00 AM,5,ANTIOQUIA,5001,MEDELLIN,1,3
03/22/2022 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,3
03/25/2022 12:00:00 AM,76,VALLE DEL CAUCA,76243,EL AGUILA,1,4
03/28/2022 12:00:00 AM,76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,1,3
03/30/2022 12:00:00 AM,5,ANTIOQUIA,5154,CAUCASIA,1,3
03/31/2022 12:00:00 AM,13,BOLIVAR,13001,CARTAGENA,1,3
04/08/2022 12:00:00 AM,5,ANTIOQUIA,5361,ITUANGO,1,3
04/13/2022 12:00:00 AM,50,META,50370,URIBE,1,4
04/17/2022 12:00:00 AM,81,ARAUCA,81794,TAME,1,4
04/17/2022 12:00:00 AM,19,CAUCA,19075,BALBOA,1,3
04/19/2022 12:00:00 AM,5,ANTIOQUIA,5284,FRONTINO,1,7
04/22/2022 12:00:00 AM,25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,1,3
04/24/2022 12:00:00 AM,86,PUTUMAYO,86571,PUERTO GUZMAN,1,3
04/24/2022 12:00:00 AM,76,VALLE DEL CAUCA,76147,CARTAGO,1,5
04/29/2022 12:00:00 AM,19,CAUCA,19100,BOLIVAR,1,3
05/02/2022 12:00:00 AM,11,BOGOTA D.C.,11001,BOGOTA D.C.,1,3
05/13/2022 12:00:00 AM,76,VALLE DEL CAUCA,76111,GUADALAJARA DE BUGA,1,3
05/20/2022 12:00:00 AM,8,ATLANTICO,8001,BARRANQUILLA,1,3
05/24/2022 12:00:00 AM,47,MAGDALENA,47001,SANTA MARTA,1,3
05/24/2022 12:00:00 AM,73,TOLIMA,73168,CHAPARRAL,1,4
06/01/2022 12:00:00 AM,20,CESAR,20238,EL COPEY,1,3
06/01/2022 12:00:00 AM,47,MAGDALENA,47980,ZONA BANANERA,1,3
06/10/2022 12:00:00 AM,18,CAQUETA,18150,CARTAGENA DEL CHAIRA,1,4
06/10/2022 12:00:00 AM,52,NARIÑO,52835,SAN ANDRES DE TUMACO,1,4
06/17/2022 12:00:00 AM,13,BOLIVAR,13001,CARTAGENA,1,3
07/02/2022 12:00:00 AM,5,ANTIOQUIA,5642,SALGAR,1,3
07/03/2022 12:00:00 AM,52,NARIÑO,52835,SAN ANDRES DE TUMACO,1,3
07/04/2022 12:00:00 AM,8,ATLANTICO,8001,BARRANQUILLA,1,3
07/06/2022 12:00:00 AM,18,CAQUETA,18410,LA MONTAÑITA,1,3
07/10/2022 12:00:00 AM,19,CAUCA,19698,SANTANDER DE QUILICHAO,1,3
